INCIDENT_NAME,COUNTY_KEY,Sum of ACRES_BURNED,IS_ACTIVE,Sum of PCT_CONTAINED,Sum of AQI_AT_INCIDENT,Sum of COMPOSITE_RISK_SCORE,Sum of LATITUDE,Sum of LONGITUDE,TIME_KEY,Sum of VULNERABILITY_SCORE,WEATHER_KEY,Sum of SMOKE_SEVERITY_AT_INCIDENT
Ridge Fire,7552028633861414000,1850,true,45,36.6,0.0654,33.7175,-116.2132,4987815489972556000,0.0979,7,0.1152
Summit Fire,2866340797490392600,3200,true,30,36.6,0.0716,34.1083,-117.2898,4061351887886961000,0.1054,8,0.1152
Iona Fire,2506732130151973400,92.4,true,97,36.6,0.0632,34.1478,-118.1445,-7504342891267139000,0.1177,4,0.1152
Ember Fire,2506732130151973400,427.5,true,70,36.6,0.0644,34.0522,-118.2437,-7504342891267139000,0.1177,4,0.1152
Thomas Fire,5144243818589162000,281893,false,100,36.6,0.4085,34.3525,-119.1391,7079953416959677000,0.0959,9,0.1152
Creek Fire,2145379194225775900,379895,false,100,36.6,0.4136,37.2274,-119.2321,2565872622097734700,0.1212,5,0.1152
Valley Fire,4875024857164601000,5600,true,20,36.6,0.0855,36.7378,-119.7871,8613739433107355000,0.1327,3,0.1152
Tamarack Fire,,68637,false,100,45.2,0.3438,38.67,-119.88,,0.189,,0.1152
Oak Fire,,19244,false,100,52.3,0.1599,37.55,-119.93,,0.134,,0.1152
Caldor Fire,-837563933122069400,221835,false,100,36.6,0.4128,38.6121,-120.0547,7079282192376526000,0.1173,2,0.1152
Alisal Fire,,16960,false,100,36.6,0.1455,34.59,-120.23,,0.102,,0.1152
Antelope Fire,,145002,false,100,41,0.4508,40.48,-120.52,,0.175,,0.1152
Mosquito Fire,,76788,false,100,42.1,0.3661,39.03,-120.67,,0.158,,0.1152
River Fire 2,,2572,false,100,39.1,0.0966,39.09,-121.01,,0.109,,0.1152
Dixie Fire,-6556932247658748000,963309,false,100,36.6,0.4216,39.9543,-121.0124,8884353027277217000,0.1612,6,0.1152
River Fire,,2600,false,100,38.4,0.1033,39.27,-121.15,,0.142,,0.1152
Camp Fire,-949901801594004000,153336,false,100,36.6,0.4177,39.7521,-121.6219,3393864260361807000,0.1419,1,0.1152
Fawn Fire,,8576,false,100,40.5,0.128,40.81,-122.21,,0.161,,0.1152
Mill Fire,,4240,false,100,38.8,0.117,41.52,-122.63,,0.182,,0.1152
Monument Fire,,223763,false,100,43.7,0.4548,40.63,-123.05,,0.195,,0.1152
